8559,33035452,2009.0,None,3/9/2009,01,1.0,0.0,Y,03030,None,01,070,1.0,03,Y,02,4,2,1,1,09,1,ZZ,K,N2,None,None,3/9/2009 10:13:00 PM,NYC PD,1,011,1,N,4500398.39,587740.22,442486651.0,186409.0,80.58185,3,2.0,N,330354522009,-73.9622155301,40.649773749,Brooklyn,314,20,22,40,11,42071,Flatbush,70,36047051002,510.02,None,42
8592,32907494,2008.0,None,12/26/2008,12,1.0,0.0,Y,03030,None,01,071,1.0,03,Y,ZZ,4,2,1,1,09,1,02,K,N2,None,None,12/26/2008 11:10:00 PM,NYC PD,1,011,1,Y,4501721.01,589612.91,436995379.0,187163.0,0.00041195,5,2.0,N,329074942008,-73.9398805324,40.6614857195,Brooklyn,309,20,17,41,11,43051,Prospect-LeffertsGrdn-Wing,71,36047087401,874.01,None,43
11590,32581009,2008.0,None,3/19/2008,12,1.0,1.0,Y,03030,None,01,108,1.0,03,Y,02,4,1,2,1,09,1,06,KC,N4,None,None,3/19/2008 12:30:00 AM,NYC PD,1,011,1,Y,4509904.42002,592880.610112,442496636.0,193075.0,0.0,None,2.0,N,325810092008,-73.9000185343,40.7348327368,Queens,405,15,24,26,7,30078,Maspeth,104,36081051500,515,None,30
11890,32814359,2008.0,None,8/25/2008,12,1.0,0.0,Y,03030,None,01,105,1.0,03,Y,02,1,2,1,1,09,Z,ZZ,K,N4,None,None,8/25/2008 1:02:00 PM,NYC PD,1,011,1,Y,4510268.77,608603.4,514932615.0,273937.0,0.0,None,2.0,N,328143592008,-73.7137926685,40.7361897383,Queens,413,11,26,23,6,33001,Bellerose,105,36081157101,1571.01,None,33
13509,33132330,2009.0,None,6/30/2009,12,1.0,0.0,Y,03030,None,01,066,1.0,03,Y,01,1,0,1,1,09,1,05,K,N2,None,None,6/30/2009 5:18:00 PM,NYC PD,1,011,1,N,4496989.325,586701.4797,441798693.0,175678.0,194.0,5,2.0,N,331323302009,-73.9749695242,40.619176815,Brooklyn,312,27,21,44,8,48083,Ocean Parkway South,66,36047044800,448,None,48
13779,33395639,2009.0,None,12/13/2009,12,1.0,0.0,Y,03030,None,01,094,1.0,03,Y,01,1,3,1,2,09,1,05,K,N2,None,None,12/13/2009 12:10:00 PM,NYC PD,1,011,3,N,4508719.02,588821.59,442493856.0,191148.0,141.0,1,2.0,N,333956392009,-73.9482495277,40.724603747,Brooklyn,301,17,14,33,12,50086,Greenpoint,94,36047057100,571,None,50
14447,33209279,2009.0,None,8/27/2009,12,1.0,0.0,Y,03030,None,01,090,1.0,03,Y,02,1,2,1,1,09,1,ZZ,K,N2,None,None,8/27/2009 8:20:00 AM,NYC PD,1,011,1,Y,4506450.5,589662.57,437986736.0,424215.0,0.0,1,2.0,N,332092792009,-73.9386175536,40.7040797225,Brooklyn,301,17,14,34,12,53055,Bushwick South,90,36047048900,489,None,53
14547,33054784,2009.0,None,5/28/2009,12,1.0,0.0,Y,03030,None,01,090,1.0,03,Y,02,1,2,1,2,09,1,05,K,N2,None,None,5/28/2009 8:15:00 AM,NYC PD,1,011,3,Y,4506708.38,590228.23,438155292.0,189566.0,0.0,3,2.0,N,330547842009,-73.9318855457,40.7063407281,Brooklyn,301,17,32,34,12,53011,Bushwick North,90,36047045300,453,None,53
14653,33274810,2009.0,None,9/18/2009,12,2.0,0.0,Y,03030,None,01,088,2.0,03,Y,20,4,1,1,1,09,1,04,KK,N2,None,None,9/18/2009 10:28:00 PM,NYC PD,1,011,1,Y,4504498.09,587412.25,437969965.0,424383.0,0.0,5,2.0,N,332748102009,-73.9655236024,40.6867357163,Brooklyn,302,18,13,35,10,57059,Clinton Hill,88,36047019900,199,None,57
14827,33132331,2009.0,None,6/27/2009,12,1.0,0.0,Y,03030,None,01,078,1.0,03,Y,02,1,1,1,1,09,1,02,K,N2,None,None,6/27/2009 8:27:00 AM,NYC PD,1,011,1,Y,4503973.74,586482.81,437971433.0,168944.0,0.0,7,2.0,N,331323312009,-73.9765935745,40.6821107695,Brooklyn,306,18,13,33,11,57047,Park Slope - Gowanus,78,36047012902,129.02,None,57
18046,32745949,2008.0,None,7/15/2008,12,1.0,0.0,Y,03030,None,01,044,1.0,03,Y,20,1,1,1,1,09,1,07,K,N1,None,None,7/15/2008 3:16:00 PM,NYC PD,1,011,1,Y,4520541.95,591037.03,437945284.0,195538.0,0.0,None,2.0,N,327459492008,-73.9202976084,40.8308507143,The Bronx,204,36,9,16,16,77072,EastConcourse - ConcourseVillage,44,36005018301,183.01,Bronx DPHO,77
